#,Equipo,22,23,24,Pts,PJ,Prom
1,River Plate,76,85,54,215,115,1.869
2,Racing Club,80,60,52,192,115,1.669
3,Boca Juniors,79,62,50,191,115,1.660
4,Estudiantes (LP),61,62,54,177,115,1.539
5,Godoy Cruz,51,63,56,170,115,1.478
6,Argentinos,67,54,48,169,115,1.469
7,Talleres (C),46,67,56,169,115,1.469
8,Huracan,65,51,51,167,115,1.452
9,Def y Justicia,65,58,42,165,115,1.434
10,San Lorenzo,58,64,37,159,115,1.382
11,Newells,63,53,42,158,115,1.373
12,Velez,46,49,63,158,115,1.373
13,Instituto,0,52,46,98,74,1.324
14,Independiente,51,51,49,151,115,1.313
15,Belgrano,0,57,40,97,74,1.310
16,Atl Tucuman,57,54,39,150,115,1.304
17,Gimnasia (LP),65,45,40,150,115,1.304
18,Rosario Central,46,65,39,150,115,1.304
19,Union,49,46,50,145,115,1.260
20,Riestra,0,0,41,41,33,1.242
21,Barracas Central,53,49,39,141,115,1.226
22,Platense,42,54,45,141,115,1.226
23,Banfield,49,53,38,140,115,1.217
24,Tigre,63,47,30,140,115,1.217
25,Lanus,36,57,43,136,115,1.182
26,Central Cba (SdE),49,48,34,131,115,1.139
27,Sarmiento (J),53,46,29,128,115,1.113
28,Ind Rivadavia,0,0,31,31,33,0.939
